,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,u,v,key
225,89432772,2,Anda Street,residential,40,False,74.40299999999999,"LINESTRING (120.973116 14.5894997, 120.9732125 14.5895882, 120.9735571 14.5898765, 120.9736334 14.5899434)",,301287773,163728450,0
226,31806553,1,General Luna Street,unclassified,40,True,83.258,"LINESTRING (120.9725301 14.5922385, 120.9719989 14.5927829)",,340150426,997427853,0
227,34363668,4,A. Soriano Avenue,secondary,40,False,82.644,"LINESTRING (120.9725301 14.5922385, 120.9719585 14.5917421)",,340150426,5561065691,0
228,34363668,4,A. Soriano Avenue,secondary,40,False,78.145,"LINESTRING (120.9725301 14.5922385, 120.9727966 14.5924709, 120.9729897 14.5926457, 120.9730636 14.5927152)",,340150426,3388766875,0
229,794302967,2,General Luna Street,tertiary,40,False,95.372,"LINESTRING (120.9725301 14.5922385, 120.9726079 14.5921607, 120.9726866 14.5920752, 120.9728432 14.5919058, 120.9729907 14.5917447, 120.9730529 14.5916772, 120.973123 14.5916011)",,340150426,997427763,0
230,16175529,2,Recoletos Street,unclassified,30,False,55.622,"LINESTRING (120.9784354 14.5884701, 120.9788071 14.5888177)",,405253178,163725623,0
231,34753026,,Escuela,residential,,False,85.154,"LINESTRING (120.9784354 14.5884701, 120.977954 14.5890779)",,405253178,405253179,0
232,16175529,2,Recoletos Street,unclassified,30,False,37.025,"LINESTRING (120.9784354 14.5884701, 120.978308 14.5883494, 120.9781893 14.5882374)",,405253178,163715615,0
233,34753026,,Escuela,residential,,False,85.154,"LINESTRING (120.977954 14.5890779, 120.9784354 14.5884701)",,405253179,405253178,0
234,89432768,2,Victoria Street,unclassified,40,False,40.13,"LINESTRING (120.977954 14.5890779, 120.97823 14.5893206)",,405253179,163715370,0
235,89432768,2,Victoria Street,unclassified,40,False,42.209,"LINESTRING (120.977954 14.5890779, 120.9779068 14.589031, 120.9776735 14.5888126)",,405253179,163715617,0
236,16176649,1,16th Street,tertiary,35,True,89.013,"LINESTRING (120.9716578 14.5894023, 120.9710653 14.5888437)",,616061273,163749624,0
237,4075790,4,Bonifacio Drive,trunk,60,True,258.05899999999997,"LINESTRING (120.9716578 14.5894023, 120.9718018 14.5891749, 120.9720122 14.5888646, 120.9725584 14.5879826, 120.9726221 14.5878721, 120.9729059 14.587421)",120,616061273,3199908408,0
238,89527832,2,Quintin Paredes Street,secondary,40,True,22.672,"LINESTRING (120.9782388 14.5945369, 120.9780879 14.5946792)",,617535909,33444448,0
239,704755565,2,,secondary_link,40,True,20.737,"LINESTRING (120.9782388 14.5945369, 120.9782431 14.594576, 120.9782471 14.5946156, 120.9782602 14.5946724, 120.9782858 14.5947149)",,617535909,1707897341,0
240,161306392,4,Andres Soriano Avenue,secondary,40,False,65.367,"LINESTRING (120.9741903 14.5942876, 120.974169 14.5937001)",,703530319,21638762,0
241,124472779,2,Quintin Paredes Street,secondary,,True,111.88900000000001,"LINESTRING (120.9783943 14.5938629, 120.9784363 14.5938107, 120.9785528 14.5936658, 120.9788928 14.5932924, 120.9791097 14.593141)",,997416620,1385466358,0
242,"[158627299, 720371453]",2,Anda Street,unclassified,40,False,106.313,"LINESTRING (120.9783943 14.5938629, 120.9776603 14.5936012, 120.9776151 14.5935787, 120.9775993 14.5935685, 120.9775455 14.5935336, 120.9775015 14.5934795)",,997416620,163723133,0
243,331777153,2,Cabildo Street,unclassified,40,False,91.906,"LINESTRING (120.9725756 14.5932655, 120.9720202 14.5938934)",,997416622,3388905506,0
244,331777153,2,Cabildo Street,unclassified,40,False,80.634,"LINESTRING (120.9725756 14.5932655, 120.9730636 14.5927152)",,997416622,3388766875,0
